CustomerID,Lookalikes
C0001,"[('C0152', 0.9752583452552668), ('C0118', 0.9485854565248002), ('C0011', 0.9324796486116019)]"
C0002,"[('C0027', 0.9899515429152084), ('C0106', 0.9524260826353189), ('C0193', 0.9422431073973089)]"
C0003,"[('C0190', 0.9626923335977859), ('C0031', 0.8417208007652838), ('C0052', 0.8148811336186765)]"
C0004,"[('C0165', 0.9848531962758017), ('C0113', 0.9726190263607924), ('C0102', 0.920916913255805)]"
C0005,"[('C0193', 0.9110091708635232), ('C0159', 0.9083371393572564), ('C0150', 0.8815732323237335)]"
C0006,"[('C0187', 0.9488099214232308), ('C0126', 0.921092050952752), ('C0048', 0.9088257381116153)]"
C0007,"[('C0040', 0.8952669938031307), ('C0074', 0.8883930839371971), ('C0005', 0.8728216752627371)]"
C0008,"[('C0018', 0.8829591773049813), ('C0034', 0.8266265891182646), ('C0065', 0.8251931066743722)]"
C0009,"[('C0061', 0.9351295839885683), ('C0128', 0.9008889365131393), ('C0140', 0.8976340696063135)]"
C0010,"[('C0121', 0.9289010450366442), ('C0060', 0.9209288820860437), ('C0062', 0.8757903442997903)]"
C0011,"[('C0107', 0.9702649776081356), ('C0001', 0.9324796486116019), ('C0184', 0.8919869870252557)]"
C0012,"[('C0087', 0.931298073461805), ('C0013', 0.9191344026628058), ('C0195', 0.8991072893698405)]"
C0013,"[('C0087', 0.9577845746260031), ('C0012', 0.9191344026628058), ('C0054', 0.8820531953911462)]"
C0014,"[('C0063', 0.9839417636019212), ('C0119', 0.9724971042319874), ('C0178', 0.9394348430468056)]"
C0015,"[('C0058', 0.9931786594571325), ('C0020', 0.929883919008124), ('C0186', 0.9112433509298008)]"
C0016,"[('C0185', 0.9821728770786116), ('C0050', 0.9689242899030235), ('C0042', 0.8415140222912182)]"
C0017,"[('C0041', 0.9402474064010281), ('C0075', 0.92593200160711), ('C0124', 0.8531024172645547)]"
C0018,"[('C0046', 0.9592418241343021), ('C0194', 0.9090358276718505), ('C0008', 0.8829591773049813)]"
C0019,"[('C0199', 0.9729889615791837), ('C0073', 0.9639973447747738), ('C0197', 0.962040329015191)]"
C0020,"[('C0015', 0.929883919008124), ('C0058', 0.9150966927960129), ('C0080', 0.8971860890062171)]"
